pub_ID,sp_name,polymer,size_um_mean,size_um_SD,size_nm_mean,size_nm_SD,particles_per_mg,shape,biodegradable.y.n,color,fluorescence,modified,mod_type,surface_charge,surfactant,abiotic_env,biotic_env,milled,weathered,density_gcm-3,excitation_nm,emission_nm,company,MP_comments,age_d,generation,food_source,food_present,temperature,DOC_added,DOC_type,other_added,other_type,exp_time_h,exp_time_d,conc_p_ml-1,conc_mg_l-1,endpoint,comment_endpoint,c_n_replicates,c_mean,c_SD,c_SE,c_ind_per_replicate,c_n_individuals,t_n_replicates,t_mean,t_SD,t_SE,t_ind_per_replicate,t_n_individuals,data_comment
Lyu2022,Daphnia magna,PS,0.0700,NA,70.0000,NA,NA,spherical,no,NA,no,no,NA,NA,no,no,no,no,no,NA,NA,NA,"BaseLine ChromTech Research Centre, China; lot number 6-1-0007",,0,0,Pseudokirchneriella subcapitata ,yes,20,no,NA,no,NA,648,27,2.60E+07,1,neonates/adult,,4,123.3,6.27,3.13,5,20,4,83.2,6.5,3.25,5,20,raw data from author
Lyu2022,Daphnia magna,PS,0.0700,NA,70.0000,NA,NA,spherical,no,NA,no,no,NA,NA,no,no,no,no,no,NA,NA,NA,"BaseLine ChromTech Research Centre, China; lot number 6-1-0007",,0,0,Pseudokirchneriella subcapitata ,yes,20,no,NA,no,NA,648,27,2.60E+07,1,neonates/adult,,4,231.1,26.4,13.02,5,20,4,228.45,19.01,9.5,5,20,raw data from author
Lyu2022,Daphnia magna,PS,0.0700,NA,70.0000,NA,NA,spherical,no,NA,no,no,NA,NA,no,no,no,no,no,NA,NA,NA,"BaseLine ChromTech Research Centre, China; lot number 6-1-0007",,0,0,Pseudokirchneriella subcapitata ,yes,20,no,NA,no,NA,648,27,5.20E+07,2,neonates/adult,,4,15.45,3.1,1.55,5,20,4,2,0.4,0.2,5,20,raw data from author
Lyu2022,Daphnia magna,PS,0.0700,NA,70.0000,NA,NA,spherical,no,NA,no,no,NA,NA,no,no,no,no,no,NA,NA,NA,"BaseLine ChromTech Research Centre, China; lot number 6-1-0007",,0,0,Pseudokirchneriella subcapitata ,yes,20,no,NA,no,NA,648,27,5.20E+07,2,neonates/adult,,4,123.3,6.27,3.13,5,20,4,45.85,12.16,6.08,5,20,raw data from author
Lyu2022,Daphnia magna,PS,0.0700,NA,70.0000,NA,NA,spherical,no,NA,no,no,NA,NA,no,no,no,no,no,NA,NA,NA,"BaseLine ChromTech Research Centre, China; lot number 6-1-0007",,0,0,Pseudokirchneriella subcapitata ,yes,20,no,NA,no,NA,648,27,5.20E+07,2,neonates/adult,,4,231.1,26.4,13.02,5,20,4,224.1,22.77,11.38,5,20,raw data from author
Liu2021,Daphnia pulex,PS,0.0712,NA,71.1800,NA,NA,spherical,no,NA,yes,no,NA,NA,no,no,no,no,no,NA,NA,NA,"Baseline, Tianjin, China ",,0,0,Chlorella pyrenoidosa,yes,20,no,NA,no,NA,504,21,5.32E+07,0.1,neonates/adult,,3,54.767,7.25,4.186,20,60,3,54.767,7.8545,4.5345,20,60,from figure 2a with metaDigitise; measure of variability considered as SE; divided by 20
Liu2021,Daphnia pulex,PS,0.0712,NA,71.1800,NA,NA,spherical,no,NA,yes,no,NA,NA,no,no,no,no,no,NA,NA,NA,"Baseline, Tianjin, China ",,0,0,Chlorella pyrenoidosa,yes,20,no,NA,no,NA,504,21,2.66E+08,0.5,neonates/adult,,3,54.767,7.25,4.186,20,60,3,39.4185,7.25,4.186,20,60,from figure 2a with metaDigitise; measure of variability considered as SE; divided by 20
Liu2021,Daphnia pulex,PS,0.0712,NA,71.1800,NA,NA,spherical,no,NA,yes,no,NA,NA,no,no,no,no,no,NA,NA,NA,"Baseline, Tianjin, China ",,0,0,Chlorella pyrenoidosa,yes,20,no,NA,no,NA,504,21,5.32E+08,1,neonates/adult,,3,54.767,7.25,4.186,20,60,3,46.395,7.25,4.186,20,60,from figure 2a with metaDigitise; measure of variability considered as SE; divided by 20
Liu2021,Daphnia pulex,PS,0.0712,NA,71.1800,NA,NA,spherical,no,NA,yes,no,NA,NA,no,no,no,no,no,NA,NA,NA,"Baseline, Tianjin, China ",,0,0,Chlorella pyrenoidosa,yes,20,no,NA,no,NA,504,21,1.06E+09,2,neonates/adult,,3,54.767,7.25,4.186,20,60,3,31.395,7.25,4.186,20,60,from figure 2a with metaDigitise; measure of variability considered as SE; divided by 20
Liu2020,Daphnia pulex,PS,0.0718,NA,71.1800,NA,NA,spherical,no,NA,no,no,NA,NA,no,no,no,no,no,NA,NA,NA,"BaseLine Chromtech Research Centre, Tianjin, China ",,0,0,Chlorella pyrenoidosa ,yes,20,no,NA,no,NA,504,21,NA,0.001,neonates/adult,only F0 considered (21 days),10,143.9,30.85,9.75,1,10,10,141.46,69.41,21.95,1,10,from figure 2b with metaDigitise
Nogueira2021,Daphnia magna,PS,0.0728,6.81E-03,72.8400,6.81E+00,NA,spherical,no,NA,no,yes,Al₂O₃,negative,no,no,no,no,no,NA,NA,NA,NA,Al2O3 nanoparticle seed added during polymerization,0,0,Desmodesmus subspicatus ,yes,20,no,NA,no,NA,504,21,NA,1.65,neonates/brood,we considered 5 broods and multiplied accordingly,10,37.5,2.616199534,NA,1,10,10,29.2,3.465905365,NA,1,10,from table 2; standard deviation by approximation: sqrt(SD^2*5); mean mutiplied by 
Nogueira2021,Daphnia magna,PS,0.0728,6.81E-03,72.8400,6.81E+00,NA,spherical,no,NA,no,yes,Al₂O₃,negative,no,no,no,no,no,NA,NA,NA,NA,Al2O3 nanoparticle seed added during polymerization,0,0,Desmodesmus subspicatus ,yes,20,no,NA,no,NA,504,21,NA,3.31,neonates/brood,we considered 5 broods and multiplied accordingly,10,37.5,2.616199534,NA,1,10,10,32.5,4.606300034,NA,1,10,from table 2; standard deviation by approximation: sqrt(SD^2*5); mean mutiplied by 
Nogueira2021,Daphnia magna,PS,0.0728,6.81E-03,72.8400,6.81E+00,NA,spherical,no,NA,no,yes,Al₂O₃,negative,no,no,no,no,no,NA,NA,NA,NA,Al2O3 nanoparticle seed added during polymerization,0,0,Desmodesmus subspicatus ,yes,20,no,NA,no,NA,504,21,NA,6.62,neonates/brood,we considered 5 broods and multiplied accordingly,10,37.5,2.616199534,NA,1,10,10,30.05,2.370232056,NA,1,10,from table 2; standard deviation by approximation: sqrt(SD^2*5); mean mutiplied by 
Nogueira2021,Daphnia magna,PS,0.0728,6.81E-03,72.8400,6.81E+00,NA,spherical,no,NA,no,yes,Al₂O₃,negative,no,no,no,no,no,NA,NA,NA,NA,Al2O3 nanoparticle seed added during polymerization,0,0,Desmodesmus subspicatus ,yes,20,no,NA,no,NA,504,21,NA,13.24,neonates/brood,we considered 5 broods and multiplied accordingly,10,37.5,2.616199534,NA,1,10,10,26.5,4.270889837,NA,1,10,from table 2; standard deviation by approximation: sqrt(SD^2*5); mean mutiplied by 
Liu2019,Daphnia pulex,PS,0.0750,NA,75.0000,NA,NA,spherical,no,NA,no,no,NA,NA,no,no,no,no,no,NA,NA,NA,"BaseLine Chromtech Research Centre, Tianjin, China",,0,0,Chlorella pyrenoidosa,yes,20,no,NA,no,NA,504,21,5.32E+07,0.1,neonates/adult,,10,54.03,3.38,1.07,1,10,10,35.05,11.13,3.52,1,10,from Figure 3e with metaDigitise
Liu2019,Daphnia pulex,PS,0.0750,NA,75.0000,NA,NA,spherical,no,NA,no,no,NA,NA,no,no,no,no,no,NA,NA,NA,"BaseLine Chromtech Research Centre, Tianjin, China",,0,0,Chlorella pyrenoidosa,yes,20,no,NA,no,NA,504,21,2.66E+08,0.5,neonates/adult,,10,54.03,3.38,1.07,1,10,10,42.09,7.26,2.29,1,10,from Figure 3e with metaDigitise
Liu2019,Daphnia pulex,PS,0.0750,NA,75.0000,NA,NA,spherical,no,NA,no,no,NA,NA,no,no,no,no,no,NA,NA,NA,"BaseLine Chromtech Research Centre, Tianjin, China",,0,0,Chlorella pyrenoidosa,yes,20,no,NA,no,NA,504,21,5.32E+08,1,neonates/adult,,10,54.03,3.38,1.07,1,10,10,41.17,8.22,2.6,1,10,from Figure 3e with metaDigitise
Liu2019,Daphnia pulex,PS,0.0750,NA,75.0000,NA,NA,spherical,no,NA,no,no,NA,NA,no,no,no,no,no,NA,NA,NA,"BaseLine Chromtech Research Centre, Tianjin, China",,0,0,Chlorella pyrenoidosa,yes,20,no,NA,no,NA,504,21,1.06E+09,2,neonates/adult,,10,54.03,3.38,1.07,1,10,10,43.31,9.19,2.9,1,10,from Figure 3e with metaDigitise
Liao2023,Daphnia magna,PS,0.0800,NA,80.0000,NA,1.46E+10,spherical,no,green,yes,no,NA,NA,no,no,no,no,no,NA,NA,NA,"Baseline Technology Co. LTD. (Tianjin, China) ",,0,0,Chlorella pyrenoidosa ,yes,25,NA,NA,NA,NA,504,21,NA,1.00E+00,neonates/adult,only F0 exposed to NMP,6,2.92,0.41,0.17,20,120,6,1.90,0.86,0.35,20,120,Data extracted from table S2; SD calculated as SE * √N
Vicentini2019,Daphnia magna,PS,0.0901,4.90E-03,90.1000,4.90E+00,NA,spherical,no,NA,no,no,NA,NA,no,no,no,no,no,NA,NA,NA,NA,self-made with reagents from Sigma‐Aldrich,0,0,Desmodesmus subspicatus,yes,20,no,NA,no,NA,504,21,NA,1.6,neonates/brood,we considered 5 broods and multiplied accordingly,10,17.5,1.341640786,NA,1,10,10,15.5,2.459674775,NA,1,10,from trable 3; standard deviation by approximation: sqrt(SD^2*5); mean mutiplied by 5
Vicentini2019,Daphnia magna,PS,0.0901,4.90E-03,90.1000,4.90E+00,NA,spherical,no,NA,no,no,NA,NA,no,no,no,no,no,NA,NA,NA,NA,self-made with reagents from Sigma‐Aldrich,0,0,Desmodesmus subspicatus,yes,20,no,NA,no,NA,504,21,NA,3.3,neonates/brood,we considered 5 broods and multiplied accordingly,10,17.5,1.341640786,NA,1,10,10,19,2.01246118,NA,1,10,from trable 3; standard deviation by approximation: sqrt(SD^2*5); mean mutiplied by 5
Vicentini2019,Daphnia magna,PS,0.0901,4.90E-03,90.1000,4.90E+00,NA,spherical,no,NA,no,no,NA,NA,no,no,no,no,no,NA,NA,NA,NA,self-made with reagents from Sigma‐Aldrich,0,0,Desmodesmus subspicatus,yes,20,no,NA,no,NA,504,21,NA,6.6,neonates/brood,we considered 5 broods and multiplied accordingly,10,17.5,1.341640786,NA,1,10,10,18,3.130495168,NA,1,10,from trable 3; standard deviation by approximation: sqrt(SD^2*5); mean mutiplied by 5
Vicentini2019,Daphnia magna,PS,0.0901,4.90E-03,90.1000,4.90E+00,NA,spherical,no,NA,no,no,NA,NA,no,no,no,no,no,NA,NA,NA,NA,self-made with reagents from Sigma‐Aldrich,0,0,Desmodesmus subspicatus,yes,20,no,NA,no,NA,504,21,NA,13.3,neonates/brood,we considered 5 broods and multiplied accordingly,10,17.5,1.341640786,NA,1,10,10,17,3.354101966,NA,1,10,from trable 3; standard deviation by approximation: sqrt(SD^2*5); mean mutiplied by 5
Vicentini2019,Daphnia magna,PS,0.0901,4.90E-03,90.1000,4.90E+00,NA,spherical,no,NA,no,no,NA,NA,no,no,no,no,no,NA,NA,NA,NA,self-made with reagents from Sigma‐Aldrich,0,0,Desmodesmus subspicatus,yes,20,no,NA,no,NA,504,21,NA,26.6,neonates/brood,we considered 5 broods and multiplied accordingly,10,17.5,1.341640786,NA,1,10,10,7.5,0.02236068,NA,1,10,from trable 3; standard deviation by approximation: sqrt(SD^2*5); mean mutiplied by 5
Vicentini2019,Daphnia magna,PS,0.0945,3.90E-03,94.5000,3.90E+00,NA,spherical,no,NA,yes,no,NA,NA,no,no,no,no,no,NA,NA,NA,NA,self-made with reagents from Sigma‐Aldrich,0,0,Desmodesmus subspicatus,yes,20,no,NA,no,NA,504,21,NA,1.7,neonates/brood,we considered 5 broods and multiplied accordingly,10,25,2.01246118,NA,1,10,10,22.5,4.248529157,NA,1,10,from trable 3; standard deviation by approximation: sqrt(SD^2*5); mean mutiplied by 5
Vicentini2019,Daphnia magna,PS,0.0945,3.90E-03,94.5000,3.90E+00,NA,spherical,no,NA,yes,no,NA,NA,no,no,no,no,no,NA,NA,NA,NA,self-made with reagents from Sigma‐Aldrich,0,0,Desmodesmus subspicatus,yes,20,no,NA,no,NA,504,21,NA,3.5,neonates/brood,we considered 5 broods and multiplied accordingly,10,25,2.01246118,NA,1,10,10,16.5,4.695742753,NA,1,10,from trable 3; standard deviation by approximation: sqrt(SD^2*5); mean mutiplied by 5
